period_beginning,period_ending,reporting_period,transport_mode,journey_millions
2018-11-11,2018-12-08,9,DLR,9.90
2018-12-09,2019-01-05,10,DLR,7.50
2019-01-06,2019-02-02,11,DLR,9.30
2019-02-03,2019-03-02,12,DLR,9.70
2019-03-03,2019-03-31,13,DLR,10.00
2019-04-01,2019-04-27,1,DLR,8.90
2019-04-28,2019-05-25,2,DLR,9.70
2019-05-26,2019-06-22,3,DLR,9.30
2019-06-23,2019-07-20,4,DLR,9.60
2019-07-21,2019-08-17,5,DLR,9.10
2019-08-18,2019-09-14,6,DLR,8.70
2019-09-15,2019-10-12,7,DLR,9.50
2019-10-13,2019-11-09,8,DLR,10.00
2019-11-10,2019-12-07,9,DLR,9.80
2019-12-08,2020-01-04,10,DLR,7.50
2020-01-05,2020-02-01,11,DLR,9.20
2020-02-02,2020-02-29,12,DLR,9.30
2020-03-01,2020-03-31,13,DLR,6.10
2020-04-01,2020-05-02,1,DLR,1.20
2020-05-03,2020-05-30,2,DLR,1.40
2020-05-31,2020-06-27,3,DLR,2.10
2020-06-28,2020-07-25,4,DLR,2.90
2020-07-26,2020-08-22,5,DLR,3.60
2020-08-23,2020-09-19,6,DLR,4.20
2020-09-20,2020-10-17,7,DLR,4.50
2020-10-18,2020-11-14,8,DLR,4.10
2010-04-01,2010-05-01,1,Tram,2.30
2010-05-02,2010-05-29,2,Tram,2.20
2010-05-30,2010-06-26,3,Tram,2.10
2010-06-27,2010-07-24,4,Tram,2.10
2010-07-25,2010-08-21,5,Tram,2.00
2010-08-22,2010-09-18,6,Tram,2.00
2010-09-19,2010-10-16,7,Tram,2.30
2010-10-17,2010-11-13,8,Tram,2.20
2010-11-14,2010-12-11,9,Tram,2.30
2010-12-12,2011-01-08,10,Tram,1.80
2011-01-09,2011-02-05,11,Tram,2.10
2011-02-06,2011-03-05,12,Tram,2.20
2011-03-06,2011-03-31,13,Tram,2.10
2011-04-01,2011-04-30,1,Tram,2.10
2011-05-01,2011-05-28,2,Tram,2.20
2011-05-29,2011-06-25,3,Tram,2.20
2011-06-26,2011-07-23,4,Tram,2.30
2011-07-24,2011-08-20,5,Tram,1.90
2011-08-21,2011-09-17,6,Tram,2.10
2011-09-18,2011-10-15,7,Tram,2.40
2011-10-16,2011-11-12,8,Tram,2.30
2011-11-13,2011-12-10,9,Tram,2.40
2011-12-11,2012-01-07,10,Tram,1.90
2012-01-08,2012-02-04,11,Tram,2.20
2012-02-05,2012-03-03,12,Tram,2.00
2012-03-04,2012-03-31,13,Tram,2.30
2012-04-01,2012-04-28,1,Tram,2.10
2012-04-29,2012-05-26,2,Tram,2.30
2012-05-27,2012-06-23,3,Tram,2.20
2012-06-24,2012-07-21,4,Tram,2.50
2012-07-22,2012-08-18,5,Tram,2.30
2012-08-19,2012-09-15,6,Tram,2.40
2012-09-16,2012-10-13,7,Tram,2.50
2012-10-14,2012-11-10,8,Tram,2.20
2012-11-11,2012-12-08,9,Tram,2.50
2012-12-09,2013-01-05,10,Tram,2.00
2013-01-06,2013-02-02,11,Tram,2.30
2013-02-03,2013-03-02,12,Tram,2.40
2013-03-03,2013-03-31,13,Tram,2.40
2013-04-01,2013-04-27,1,Tram,2.30
2013-04-28,2013-05-25,2,Tram,2.50
2013-05-26,2013-06-22,3,Tram,2.40
2013-06-23,2013-07-20,4,Tram,2.50
2013-07-21,2013-08-17,5,Tram,2.20
2013-08-18,2013-09-14,6,Tram,2.00
2013-09-15,2013-10-12,7,Tram,2.60
2013-10-13,2013-11-09,8,Tram,2.40
