,NLC,Station,En/Ex 2007,En/Ex 2008,En/Ex 2009,En/Ex 2010,En/Ex 2011,En/Ex 2012,En/Ex 2013,En/Ex 2014,En/Ex 2015,En/Ex 2016,En/Ex 2017,En/Ex 2018,En/Ex 2019,En/Ex 2020,En/Ex 2021,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Night Tube?
10,511,BAKER STREET,24009889,24605375,25636684,26275325,27017574,27744272,28097997,32175422,29379132,29754860,27340420,27349471,28073310,8475976,11147642,"Bakerloo, Circle, Jubilee, Hammersmith & City, Metropolitan",London Underground,Yes,,,,Yes
11,512,BALHAM LU,11336548,11560006,11549624,10897161,11459978,11904117,12051320,13471439,14178948,14637993,13584305,12706683,13064682,5241275,5356512,Northern,London Underground,Yes,,,,Yes
12,513,BANK AND MONUMENT,41882819,42823864,40655415,43495766,47804941,47749950,48884756,52306067,57512971,64262200,90922111,86393639,92291003,15625280,30132853,"Central, Circle, District, DLR, Northern, Waterloo & City",London Underground,Yes,,,Yes,Yes
13,514,BARKING,12787835,11676598,13045782,13719922,13955938,14514735,15224058,15592496,16055212,15860320,19511102,20580625,21622036,17562493,11353650,"District, Hammersmith & City, London Overground",London Underground,Yes,,Yes,,No
14,515,BARKINGSIDE,859251,952740,975225,1080144,1156751,1118756,1241272,1351966,1406286,1633262,1543740,1557996,1575379,915270,647203,Central,London Underground,Yes,,,,Yes
15,516,BARONS COURT,6698321,6778341,6349273,6456132,6535580,6809659,7155458,7500664,7295186,7207423,6769847,6689966,6821846,3127255,2900237,"District, Piccadilly",London Underground,Yes,,,,Yes
16,517,BAYSWATER,6042651,5982534,6439576,5519178,5100938,5541858,5493688,5691226,5219590,4756028,4437691,4335552,4253914,1086943,1498957,"Circle, District",London Underground,Yes,,,,No
17,518,BECONTREE,2314840,2547549,2420863,2493471,2759530,2837652,3039868,3395647,3490288,3545530,3458723,3477091,3461331,2756262,1759768,District,London Underground,Yes,,,,No
18,519,BELSIZE PARK,5632841,6144764,6080640,6168717,5747717,5806568,5842725,5927817,6155599,6482865,5926276,5811597,5679733,2769409,2609939,Northern,London Underground,Yes,,,,Yes
19,520,BETHNAL GREEN LU,14095386,14272056,15110104,15059643,15086509,15055906,15272389,16076636,16164737,16272340,14720488,14171711,14920047,6849607,6322604,Central,London Underground,Yes,,,,Yes
20,521,BLACKFRIARS LU,12621265,13137897,0,0,0,9282172,12087967,13142562,13702647,15449362,14159864,14288212,15533461,2894042,4795990,"Circle, District",London Underground,Yes,,,,No
21,522,BLACKHORSE ROAD,6178833,6093247,5679321,6101764,6468586,7304059,7898300,8633193,8360092,8452553,10946261,11515668,12365373,7413637,6536601,"London Overground, Victoria",London Underground,Yes,,Yes,,Yes
22,524,BOND STREET,36695785,36406455,36850571,36868627,36022087,38065150,39648205,19799777,37119274,39528650,36853006,36165875,37487361,9682506,15694939,"Central, Jubilee, TfL Rail",London Underground,Yes,Yes,,,Yes
23,525,BOROUGH,4138441,4140747,4869438,5088277,4573373,4840588,4887560,5309004,5358351,5873875,5581683,5413775,5547448,1471942,2066434,Northern,London Underground,Yes,,,,No
24,526,BOSTON MANOR,1863704,1983961,1934689,1872411,1887897,1951651,2077572,2278211,2242854,2322687,2170793,2066569,2185122,1041242,879895,Piccadilly,London Underground,Yes,,,,Yes
25,527,BOUNDS GREEN,5497937,5777529,5554259,5302175,5592642,5738629,6161808,6564869,6462300,6615420,6057231,5749650,5990306,2953366,2509255,Piccadilly,London Underground,Yes,,,,Yes
26,528,BOW ROAD,4590692,5315977,5083967,5302929,5081976,5180394,5601781,5765573,6102443,5645547,5362773,5327619,5229778,2660676,2257180,"District, Hammersmith & City",London Underground,Yes,,,,No
27,529,BRENT CROSS,1892404,2190859,2142167,2137758,2209328,2125797,2135435,2400107,2566618,2493412,2392436,2396791,2406723,1348186,1071927,Northern,London Underground,Yes,,,,Yes
28,530,BROMLEY-BY-BOW,2652435,2745801,2406403,2620645,2750832,2628177,3210211,3414885,3685840,3789045,3569032,4093177,4229591,2575616,2030519,"District, Hammersmith & City",London Underground,Yes,,,,No
29,531,BUCKHURST HILL,1548767,1597036,1721626,1794127,1849690,1910147,1943928,2061303,2063838,2188937,2195929,1844536,1856050,862044,1072751,Central,London Underground,Yes,,,,Yes
30,532,BURNT OAK,3173136,3513361,3643813,3680047,3787725,3623525,3614445,4083381,4383772,4519973,4264418,4208566,4190341,2926900,1912270,Northern,London Underground,Yes,,,,Yes
31,534,CALEDONIAN ROAD,5333034,4932319,5083008,5091188,5273722,5250363,5939278,6003408,6126683,5725549,5426372,5226968,5603533,2343114,2421295,Piccadilly,London Underground,Yes,,,,Yes
32,535,CAMDEN TOWN,18777443,19643233,19673751,20962210,20985400,21614759,22515351,23369124,21898497,22884901,21239992,19628395,20499697,5509540,9118497,Northern,London Underground,Yes,,,,Yes
33,536,,4109347,4540496,3932511,3947306,4047494,4088480,4644524,5299813,7485065,8983249,8996282,7399745,7108243,1559861,2147772,"Circle, District",London Underground,Yes,,,,No
34,537,CANONS PARK,1536223,1560563,1646258,1613367,1815525,1983360,2378098,2597229,2786006,2925484,2918453,2893090,2981768,1501564,1249231,Jubilee,London Underground,Yes,,,,Yes
35,539,CHALFONT & LATIMER,1307003,1190880,1107806,1095488,1188207,1267837,1111515,1476940,1437534,1488465,1594941,1789548,1766734,818368,736602,Metropolitan,London Underground,Yes,,,,No
36,540,CHALK FARM,4651929,4853951,5393268,5253384,4937923,5340369,5550362,5893313,5752495,5608603,5556107,5232138,5448344,1661516,2195398,Northern,London Underground,Yes,,,,Yes
37,541,CHANCERY LANE,14770603,15385542,14788758,15282247,16035269,15898206,16523655,16592090,16355373,18189655,16775017,17033055,17253849,3405923,5469516,Central,London Underground,Yes,,,,Yes
